市区町村コード,市区町村名,総人口,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,道路距離対象_65歳以上人口,道路距離対象_総人口,圏外65歳以上人口_変種D,圏外率_変種D,圏外総人口_変種D,圏外率_変種D_総人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外総人口_変種A,圏外率_変種A_総人口,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種D,比_農水省÷変種A,比_農水省÷変種C125
01367,奥尻町,2363,973,193,323.0,950,2322,950,1.0,2322,1.0,664,0.6824,1657,0.7012,742,684,0.703,0.4681,467.0,0.468,0.686,0.666
01472,幌加内町,1370,559,177,202.0,559,1370,559,1.0,1370,1.0,559,1.0,1370,1.0,559,559,1.0,0.2929,164.0,0.293,0.293,0.293
01518,利尻町,1988,812,161,323.0,796,1985,796,1.0,1985,1.0,520,0.6404,1334,0.671,534,489,0.6022,0.4969,402.0,0.497,0.776,0.825
01519,利尻富士町,2418,928,192,309.0,928,2418,928,1.0,2418,1.0,815,0.8782,2036,0.842,850,659,0.7101,0.5339,502.0,0.534,0.608,0.752
02343,西目屋村,1265,501,105,305.0,501,1265,501,1.0,1265,1.0,501,1.0,1265,1.0,501,501,1.0,0.4401,220.0,0.44,0.44,0.44
02450,新郷村,2200,1084,254,273.0,1084,2200,1084,1.0,2200,1.0,1084,1.0,2200,1.0,1084,1084,1.0,0.4039,438.0,0.404,0.404,0.404
05327,上小阿仁村,2063,1107,172,412.0,1107,2063,1107,1.0,2063,1.0,1102,0.9955,2061,0.999,1107,1064,0.9612,0.4423,490.0,0.442,0.444,0.46
07364,檜枝岐村,504,196,39,322.0,196,504,196,1.0,504,1.0,196,1.0,504,1.0,196,196,1.0,0.4596,89.0,0.46,0.46,0.46
07444,三島町,1452,786,138,365.0,786,1452,786,1.0,1452,1.0,786,1.0,1452,1.0,786,786,1.0,0.4023,315.0,0.402,0.402,0.402
07446,昭和村,1246,693,151,294.0,693,1246,693,1.0,1246,1.0,693,1.0,1246,1.0,693,693,1.0,0.5607,389.0,0.561,0.561,0.561
10367,神流町,1645,1018,210,310.0,1018,1645,1018,1.0,1645,1.0,1018,1.0,1645,1.0,1018,1018,1.0,0.3881,392.0,0.388,0.388,0.388
13364,神津島村,1855,587,60,626.0,587,1855,587,1.0,1855,1.0,225,0.3833,707,0.3811,437,70,0.1193,0.37,217.0,0.37,0.965,3.103
13382,御蔵島村,323,58,13,286.0,58,323,58,1.0,323,1.0,58,1.0,323,1.0,58,58,1.0,0.7737,45.0,0.774,0.774,0.774
13402,青ヶ島村,169,31,17,117.0,31,169,31,1.0,169,1.0,31,1.0,169,1.0,31,31,1.0,0.7207,22.0,0.721,0.721,0.721
15586,粟島浦村,353,146,14,667.0,146,351,146,1.0,351,1.0,41,0.2808,76,0.2153,41,47,0.3219,0.469,68.0,0.469,1.67,1.457
19364,早川町,1098,446,166,172.0,446,1098,446,1.0,1098,1.0,446,1.0,1098,1.0,446,446,1.0,0.4963,224.0,0.496,0.496,0.496
