市区町村コード,市区町村名,総65歳以上人口,居住125mメッシュ数,高齢者密度_人per_km2,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
02343,西目屋村,501,105,305.0,501,1.0,501,501,1.0,0.4401,220.0,0.44,0.44
02450,新郷村,1084,254,273.0,1084,1.0,1084,1084,1.0,0.4039,438.0,0.404,0.404
07364,檜枝岐村,196,39,322.0,196,1.0,196,196,1.0,0.4596,89.0,0.46,0.46
07444,三島町,786,138,365.0,786,1.0,786,786,1.0,0.4023,315.0,0.402,0.402
07446,昭和村,693,151,294.0,693,1.0,693,693,1.0,0.5607,389.0,0.561,0.561
13382,御蔵島村,58,13,286.0,58,1.0,58,58,1.0,0.7737,45.0,0.774,0.774
13402,青ヶ島村,31,17,117.0,31,1.0,31,31,1.0,0.7207,22.0,0.721,0.721
14402,清川村,1125,145,497.0,1125,1.0,1125,1020,0.9067,0.2838,321.0,0.284,0.313
20409,平谷村,124,52,153.0,124,1.0,124,76,0.6129,0.4114,54.0,0.411,0.671
29322,山添村,1550,374,265.0,1550,1.0,1550,1550,1.0,0.2043,318.0,0.204,0.204
29385,曽爾村,669,191,224.0,669,1.0,669,669,1.0,0.3131,209.0,0.313,0.313
29386,御杖村,891,249,229.0,891,1.0,891,891,1.0,0.442,394.0,0.442,0.442
29447,野迫川村,183,75,156.0,183,1.0,183,183,1.0,0.4648,84.0,0.465,0.465
29450,下北山村,366,117,200.0,366,1.0,366,366,1.0,0.4265,156.0,0.426,0.426
31403,江府町,1311,209,401.0,1311,1.0,1311,1299,0.9908,0.3019,396.0,0.302,0.305
36302,上勝町,770,242,204.0,770,1.0,770,770,1.0,0.5043,389.0,0.504,0.504
45403,西米良村,496,152,209.0,496,1.0,496,496,1.0,0.3999,175.0,0.4,0.4
46303,三島村,107,35,196.0,107,1.0,107,107,1.0,0.7372,79.0,0.737,0.737
46304,十島村,204,73,179.0,204,1.0,204,204,1.0,0.7215,147.0,0.722,0.722
46524,宇検村,681,106,411.0,681,1.0,681,681,1.0,0.5831,408.0,0.583,0.583
13362,利島村,80,17,301.0,80,1.0,80,80,1.0,0.7472,60.0,0.747,0.747
20429,王滝村,308,95,207.0,308,1.0,308,308,1.0,0.3894,120.0,0.389,0.389
29451,上北山村,234,59,254.0,234,1.0,234,234,1.0,0.4737,109.0,0.474,0.474
29452,川上村,640,174,235.0,640,1.0,640,640,1.0,0.3931,252.0,0.393,0.393
39364,大川村,143,82,112.0,143,1.0,143,143,1.0,0.4085,61.0,0.408,0.408
40609,赤村,1173,292,257.0,1173,1.0,1173,1173,1.0,0.2084,233.0,0.208,0.208
20307,北相木村,270,71,243.0,270,1.0,270,270,1.0,0.4177,113.0,0.418,0.418
32527,知夫村,278,58,307.0,278,1.0,278,278,1.0,0.6625,188.0,0.663,0.663
07445,金山町,1131,245,295.0,1131,1.0,1131,1131,1.0,0.4982,565.0,0.498,0.498
05327,上小阿仁村,1107,172,412.0,1102,0.9955,1107,1064,0.9612,0.4423,490.0,0.444,0.46
02424,東通村,2084,460,290.0,2074,0.9952,2084,2063,0.9899,0.5126,1085.0,0.515,0.518
07422,湯川村,1051,189,356.0,1036,0.9857,1051,970,0.9229,0.1848,197.0,0.187,0.2
40401,小竹町,3006,364,529.0,2960,0.9847,3002,2754,0.9162,0.3778,1141.0,0.384,0.412
11369,東秩父村,1258,326,247.0,1238,0.9841,1238,1201,0.9547,0.1573,198.0,0.16,0.165
27383,千早赤阪村,2153,249,553.0,2117,0.9833,2150,2039,0.9471,0.413,922.0,0.42,0.436
39427,三原村,683,221,198.0,671,0.9824,683,671,0.9824,0.2802,189.0,0.285,0.285
28442,市川町,4186,844,317.0,4088,0.9766,4088,3921,0.9367,0.3714,1554.0,0.38,0.396
10444,川場村,1565,279,359.0,1527,0.9757,1565,1358,0.8677,0.1623,254.0,0.166,0.187
10383,南牧村,1043,235,284.0,1016,0.9741,1016,1008,0.9664,0.3851,405.0,0.395,0.399
43512,山江村,1182,287,264.0,1150,0.9729,1182,996,0.8426,0.3294,385.0,0.339,0.391
29449,十津川村,1313,485,173.0,1277,0.9726,1313,1188,0.9048,0.4221,551.0,0.434,0.467
07564,飯舘村,758,438,111.0,736,0.971,758,709,0.9354,0.0413,31.0,0.043,0.044
20404,阿南町,1936,568,218.0,1878,0.97,1936,1539,0.7949,0.2949,576.0,0.304,0.371
29453,東吉野村,880,252,223.0,852,0.9682,880,814,0.925,0.3848,337.0,0.397,0.416
07544,川内村,967,366,169.0,936,0.9679,967,886,0.9162,0.2062,201.0,0.213,0.225
35502,阿武町,1494,310,308.0,1445,0.9672,1494,1315,0.8802,0.307,467.0,0.317,0.349
