市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
32527,知夫村,278,278,1.0,278,278,1.0,0.6625,188.0,0.663,0.663
39364,大川村,143,143,1.0,143,143,1.0,0.4085,61.0,0.408,0.408
39427,三原村,683,671,0.9824,683,671,0.9824,0.2802,189.0,0.285,0.285
39387,仁淀川町,2673,2584,0.9667,2673,2377,0.8893,0.3893,1045.0,0.403,0.438
32525,海士町,893,859,0.9619,859,839,0.9395,0.5541,501.0,0.576,0.59
32449,邑南町,4584,4327,0.9439,4371,3794,0.8277,0.3778,1731.0,0.4,0.456
32505,吉賀町,2710,2509,0.9258,2647,2044,0.7542,0.4045,1100.0,0.437,0.536
04302,七ヶ宿町,586,541,0.9232,586,523,0.8925,0.4212,246.0,0.456,0.472
32448,美郷町,2071,1880,0.9078,1880,1847,0.8918,0.3682,767.0,0.406,0.413
32386,飯南町,2116,1919,0.9069,1919,1646,0.7779,0.2904,614.0,0.32,0.373
39344,大豊町,1897,1708,0.9004,1828,1587,0.8366,0.4295,819.0,0.477,0.513
04422,大郷町,3029,2712,0.8953,3029,2241,0.7398,0.1664,502.0,0.186,0.225
32526,西ノ島町,1262,1123,0.8899,1123,1044,0.8273,0.546,704.0,0.614,0.66
04341,丸森町,5314,4699,0.8843,5076,4322,0.8133,0.2378,1259.0,0.269,0.292
32343,奥出雲町,5132,4516,0.88,5046,4349,0.8474,0.3015,1547.0,0.343,0.356
39405,檮原町,1542,1352,0.8768,1385,1146,0.7432,0.3783,579.0,0.432,0.509
04424,大衡村,1720,1497,0.8703,1720,1230,0.7151,0.1886,322.0,0.217,0.264
39304,安田町,1102,949,0.8612,1102,732,0.6642,0.3448,373.0,0.4,0.519
39412,四万十町,6990,5913,0.8459,6445,5240,0.7496,0.2755,1923.0,0.326,0.368
39424,大月町,2146,1810,0.8434,2045,1759,0.8197,0.3136,682.0,0.372,0.383
39306,馬路村,305,257,0.8426,257,201,0.659,0.2598,79.0,0.308,0.394
32209,雲南市,14418,12138,0.8419,13263,10714,0.7431,0.2238,3228.0,0.266,0.301
04301,蔵王町,4377,3677,0.8401,4060,3119,0.7126,0.2242,979.0,0.267,0.315
39411,津野町,2390,2005,0.8389,2380,1746,0.7305,0.2385,570.0,0.284,0.327
04606,南三陸町,4619,3855,0.8346,4441,3203,0.6934,0.2522,1187.0,0.302,0.364
32528,隠岐の島町,5517,4604,0.8345,5219,3433,0.6223,0.4601,2563.0,0.551,0.739
39305,北川村,493,409,0.8296,493,362,0.7343,0.3023,153.0,0.364,0.412
32205,大田市,13196,10761,0.8155,11486,9140,0.6926,0.3334,4422.0,0.409,0.481
32501,津和野町,3348,2713,0.8103,2713,2494,0.7449,0.4121,1375.0,0.509,0.553
32204,益田市,17014,13677,0.8039,15271,10457,0.6146,0.3179,5410.0,0.396,0.517
04362,山元町,4944,3947,0.7983,4823,2954,0.5975,0.2718,1344.0,0.34,0.455
04212,登米市,27022,21509,0.796,25027,17689,0.6546,0.2047,5518.0,0.257,0.313
39307,芸西村,1401,1112,0.7937,1197,874,0.6238,0.2648,394.0,0.334,0.425
32206,安来市,13834,10947,0.7913,12534,8097,0.5853,0.2208,3055.0,0.279,0.377
39211,香南市,10513,8300,0.7895,9310,6199,0.5897,0.2298,2402.0,0.291,0.39
32441,川本町,1458,1151,0.7894,1304,1005,0.6893,0.3667,525.0,0.465,0.532
