市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
04302,七ヶ宿町,586,586,1.0,586,586,1.0,0.4212,246.0,0.421,0.421
32527,知夫村,278,278,1.0,278,278,1.0,0.6625,188.0,0.663,0.663
39304,安田町,1102,1102,1.0,1102,1102,1.0,0.3448,373.0,0.345,0.345
39427,三原村,683,683,1.0,683,683,1.0,0.2802,189.0,0.28,0.28
39305,北川村,493,493,1.0,493,493,1.0,0.3023,153.0,0.302,0.302
39364,大川村,143,143,1.0,143,143,1.0,0.4085,61.0,0.408,0.408
39301,東洋町,1110,1100,0.991,1110,1059,0.9541,0.4459,498.0,0.45,0.467
39387,仁淀川町,2673,2616,0.9787,2673,2635,0.9858,0.3893,1045.0,0.398,0.395
39344,大豊町,1897,1828,0.9636,1828,1744,0.9193,0.4295,819.0,0.446,0.467
32525,海士町,893,859,0.9619,859,839,0.9395,0.5541,501.0,0.576,0.59
39411,津野町,2390,2287,0.9569,2390,2221,0.9293,0.2385,570.0,0.249,0.257
32505,吉賀町,2710,2566,0.9469,2647,2144,0.7911,0.4045,1100.0,0.427,0.511
39412,四万十町,6990,6543,0.9361,6583,6058,0.8667,0.2755,1923.0,0.294,0.318
32449,邑南町,4584,4279,0.9335,4461,3748,0.8176,0.3778,1731.0,0.405,0.462
39424,大月町,2146,1978,0.9217,2045,1852,0.863,0.3136,682.0,0.34,0.363
39428,黒潮町,4568,4181,0.9153,4241,3555,0.7782,0.272,1255.0,0.297,0.349
32343,奥出雲町,5132,4679,0.9117,5046,4495,0.8759,0.3015,1547.0,0.331,0.344
32386,飯南町,2116,1929,0.9116,1950,1704,0.8053,0.2904,614.0,0.319,0.361
32448,美郷町,2071,1880,0.9078,1880,1847,0.8918,0.3682,767.0,0.406,0.413
04422,大郷町,3029,2748,0.9072,3029,2444,0.8069,0.1664,502.0,0.183,0.206
04341,丸森町,5314,4811,0.9053,5076,4316,0.8122,0.2378,1259.0,0.263,0.293
39405,檮原町,1542,1385,0.8982,1385,1308,0.8482,0.3783,579.0,0.421,0.446
04606,南三陸町,4619,4133,0.8948,4441,3285,0.7112,0.2522,1187.0,0.282,0.355
32526,西ノ島町,1262,1123,0.8899,1123,1044,0.8273,0.546,704.0,0.614,0.66
04301,蔵王町,4377,3882,0.8869,4060,3418,0.7809,0.2242,979.0,0.253,0.287
