市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C125,圏外率_変種C125,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A,比_農水省÷変種C125
01472,幌加内町,559,559,1.0,559,559,1.0,0.2929,164.0,0.293,0.293
02343,西目屋村,501,501,1.0,501,501,1.0,0.4401,220.0,0.44,0.44
02450,新郷村,1084,1084,1.0,1084,1084,1.0,0.4039,438.0,0.404,0.404
07364,檜枝岐村,196,196,1.0,196,196,1.0,0.4596,89.0,0.46,0.46
07444,三島町,786,786,1.0,786,786,1.0,0.4023,315.0,0.402,0.402
07446,昭和村,693,693,1.0,693,693,1.0,0.5607,389.0,0.561,0.561
07544,川内村,967,967,1.0,967,967,1.0,0.2062,201.0,0.206,0.206
10367,神流町,1018,1018,1.0,1018,1018,1.0,0.3881,392.0,0.388,0.388
13382,御蔵島村,58,58,1.0,58,58,1.0,0.7737,45.0,0.774,0.774
13402,青ヶ島村,31,31,1.0,31,31,1.0,0.7207,22.0,0.721,0.721
14402,清川村,1125,1125,1.0,1125,1125,1.0,0.2838,321.0,0.284,0.284
19364,早川町,446,446,1.0,446,446,1.0,0.4963,224.0,0.496,0.496
19442,小菅村,310,310,1.0,310,310,1.0,0.5264,163.0,0.526,0.526
19443,丹波山村,233,233,1.0,233,233,1.0,0.5788,137.0,0.579,0.579
20306,南相木村,392,392,1.0,392,392,1.0,0.3117,122.0,0.312,0.312
20409,平谷村,124,124,1.0,124,76,0.6129,0.4114,54.0,0.411,0.671
20414,泰阜村,649,649,1.0,649,649,1.0,0.2753,179.0,0.275,0.275
20451,朝日村,1382,1382,1.0,1382,1382,1.0,0.1301,179.0,0.13,0.13
21504,七宗町,1559,1559,1.0,1559,1490,0.9557,0.3073,482.0,0.307,0.322
26463,伊根町,855,855,1.0,855,855,1.0,0.4869,455.0,0.487,0.487
29322,山添村,1550,1550,1.0,1550,1550,1.0,0.2043,318.0,0.204,0.204
29385,曽爾村,669,669,1.0,669,669,1.0,0.3131,209.0,0.313,0.313
29386,御杖村,891,891,1.0,891,891,1.0,0.442,394.0,0.442,0.442
29447,野迫川村,183,183,1.0,183,183,1.0,0.4648,84.0,0.465,0.465
29450,下北山村,366,366,1.0,366,366,1.0,0.4265,156.0,0.426,0.426
31403,江府町,1311,1311,1.0,1311,1299,0.9908,0.3019,396.0,0.302,0.305
33643,西粟倉村,497,497,1.0,497,497,1.0,0.3688,183.0,0.369,0.369
35341,上関町,1274,1274,1.0,1274,1274,1.0,0.4751,628.0,0.475,0.475
36302,上勝町,770,770,1.0,770,770,1.0,0.5043,389.0,0.504,0.504
39304,安田町,1102,1102,1.0,1102,1102,1.0,0.3448,373.0,0.345,0.345
39305,北川村,493,493,1.0,493,493,1.0,0.3023,153.0,0.302,0.302
39427,三原村,683,683,1.0,683,683,1.0,0.2802,189.0,0.28,0.28
43513,球磨村,1066,1066,1.0,1066,1059,0.9934,0.2544,277.0,0.254,0.256
45403,西米良村,496,496,1.0,496,496,1.0,0.3999,175.0,0.4,0.4
46303,三島村,107,107,1.0,107,107,1.0,0.7372,79.0,0.737,0.737
46304,十島村,204,204,1.0,204,204,1.0,0.7215,147.0,0.722,0.722
46523,大和村,573,573,1.0,573,573,1.0,0.5451,319.0,0.545,0.545
46524,宇検村,681,681,1.0,681,681,1.0,0.5831,408.0,0.583,0.583
46531,天城町,2046,2046,1.0,2046,2046,1.0,0.5005,1025.0,0.501,0.501
