都道府県コード,市区町村数,総人口,総65歳以上人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外率,農水省_困難人口割合,比_農水省÷本推計,比の中央値,比のsd,相関r,比が1超の市区町村
32,19,670131,227546,161078,0.7082,437311,0.6529,0.8439,0.2914,0.412,0.442,0.107,0.641,0
03,33,1210448,404377,275777,0.682,759057,0.6271,0.8558,0.2481,0.364,0.339,0.084,0.208,0
05,25,959391,357551,236768,0.6622,593679,0.6189,0.8672,0.3381,0.511,0.467,0.073,0.468,0
41,20,810965,246100,162897,0.6622,498526,0.615,0.847,0.2312,0.349,0.289,0.08,-0.451,0
20,77,2048003,646950,418708,0.6472,1256627,0.6136,0.8567,0.2201,0.34,0.29,0.098,0.217,0
46,43,1585594,504904,324800,0.6436,905863,0.5716,0.8105,0.341,0.53,0.513,0.084,0.754,0
36,24,718972,238124,151764,0.6377,427908,0.5955,0.8267,0.2995,0.47,0.444,0.102,0.511,0
35,19,1339523,458936,291249,0.6355,785592,0.587,0.8225,0.2315,0.365,0.356,0.077,0.517,0
08,44,2866332,839756,533255,0.635,1669147,0.5823,0.8668,0.2641,0.416,0.348,0.144,-0.327,0
07,58,1833164,572794,362964,0.6337,1080948,0.5897,0.8555,0.229,0.361,0.263,0.119,0.176,0
24,29,1768445,521401,328197,0.6296,1053790,0.596,0.8475,0.2413,0.383,0.376,0.104,0.056,0
02,40,1236346,412326,255204,0.6193,720292,0.5828,0.8615,0.3718,0.601,0.534,0.095,0.506,0
42,21,1303165,427110,263026,0.6176,756677,0.5821,0.7836,0.4129,0.67,0.579,0.09,0.786,0
31,19,553187,176977,108658,0.614,313865,0.5674,0.8096,0.2457,0.4,0.354,0.087,0.352,0
33,27,1887653,557718,337879,0.6061,1019942,0.5406,0.8154,0.3046,0.503,0.406,0.088,0.276,0
21,42,1978721,593805,357039,0.6013,1112264,0.5621,0.837,0.2709,0.451,0.388,0.182,0.297,1
45,26,1069040,344280,206827,0.6008,578082,0.5408,0.7774,0.2468,0.411,0.364,0.061,0.717,0
16,15,1034215,332750,198569,0.5968,593021,0.5734,0.834,0.2299,0.385,0.323,0.056,0.302,0
39,34,690630,241376,143534,0.5953,375376,0.5439,0.7642,0.2412,0.406,0.36,0.096,0.456,0
37,17,948482,296039,175708,0.5943,529691,0.559,0.7891,0.2497,0.421,0.404,0.176,0.114,0
43,45,1734027,538606,318061,0.591,909626,0.525,0.7837,0.2901,0.491,0.4,0.086,0.437,0
25,19,1413469,365251,211393,0.5788,742615,0.5254,0.8065,0.3267,0.565,0.476,0.136,0.248,0
09,25,1933939,554552,320622,0.5782,1031116,0.5332,0.8215,0.2584,0.447,0.374,0.108,-0.404,0
44,18,1122045,368404,211931,0.5756,575990,0.5136,0.7775,0.2591,0.45,0.358,0.143,0.551,0
15,30,2199930,715386,406045,0.5677,1154572,0.5249,0.8095,0.2135,0.376,0.328,0.087,0.402,0
30,30,921753,305242,170430,0.5588,502324,0.5453,0.7795,0.3195,0.572,0.516,0.149,0.362,0
06,35,1067882,359521,200709,0.5583,543645,0.5091,0.7806,0.2145,0.384,0.303,0.087,0.086,0
10,35,1938925,576662,319902,0.5547,1025105,0.5287,0.8275,0.2149,0.387,0.301,0.197,0.108,1
18,17,765859,232384,128408,0.5526,401660,0.5245,0.8063,0.3111,0.563,0.513,0.109,0.63,0
19,27,809971,245877,135804,0.5523,424598,0.5242,0.8073,0.2757,0.499,0.472,0.124,0.695,0
29,39,1324172,414554,225187,0.5432,666858,0.5036,0.7961,0.3159,0.581,0.468,0.132,0.454,0
38,20,1330178,432409,228262,0.5282,614068,0.4619,0.7647,0.2844,0.539,0.453,0.094,0.749,0
34,23,2793960,809792,425922,0.5266,1252992,0.4488,0.7267,0.2725,0.518,0.441,0.121,0.59,0
17,19,1131209,333102,164637,0.4944,495904,0.4385,0.762,0.1966,0.398,0.301,0.211,0.308,1
04,35,2301676,638817,304957,0.4774,942113,0.4093,0.7778,0.2556,0.535,0.396,0.17,0.044,0
40,60,5134320,1394598,616933,0.4425,1902223,0.3706,0.6902,0.2807,0.635,0.456,0.172,0.421,1
22,35,3631654,1083747,475399,0.4387,1471108,0.4051,0.7062,0.2718,0.62,0.529,0.167,0.468,0
28,41,5462086,1545782,644319,0.4169,2026384,0.3711,0.6678,0.2907,0.698,0.53,0.308,0.781,2
12,54,6283544,1699743,695005,0.4089,2199799,0.3501,0.6967,0.2592,0.634,0.432,0.324,-0.295,5
01,179,5221696,1662980,640410,0.3852,1815711,0.3478,0.7071,0.2679,0.696,0.499,0.167,0.339,3
23,54,7542204,1864405,616015,0.3304,2266744,0.3006,0.7034,0.2682,0.812,0.69,0.282,0.3,6
47,41,1465945,324382,106872,0.3296,433397,0.2958,0.6005,0.2042,0.62,0.558,0.264,0.711,3
26,26,2577938,734338,235119,0.3202,730939,0.2836,0.5636,0.2737,0.855,0.52,0.394,0.189,5
11,63,7345828,1935546,613810,0.3171,2005446,0.273,0.64,0.2363,0.745,0.574,21.216,0.002,11
14,33,9235432,2308038,564775,0.2448,1957089,0.212,0.5775,0.2636,1.077,0.999,0.336,0.263,16
27,43,8836881,2361428,474560,0.201,1604581,0.1816,0.5075,0.2267,1.128,0.893,0.661,0.803,16
13,62,14049543,3108115,309592,0.0996,1159203,0.0825,0.3379,0.1708,1.715,2.068,5.648,0.903,47
