都道府県コード,市区町村数,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外率_変種C125,農水省_困難人口割合,比_農水省÷変種A,比の中央値,比のsd,比の変動係数,相関r,比が1超の市区町村,比C125が1超の市区町村
32,19,227546,169454,0.7447,0.5586,0.2914,0.391,0.431,0.109,0.251,0.605,0,0
03,33,404377,290014,0.7172,0.5313,0.2481,0.346,0.33,0.076,0.226,0.207,0,1
05,25,357551,251333,0.7029,0.5024,0.3381,0.481,0.444,0.068,0.151,0.334,0,1
20,77,646950,453112,0.7004,0.4574,0.2201,0.314,0.275,0.085,0.297,0.322,0,0
41,20,246100,170562,0.6931,0.4648,0.2312,0.334,0.28,0.068,0.229,-0.395,0,1
31,19,176977,121657,0.6874,0.4596,0.2457,0.357,0.33,0.067,0.204,0.348,0,0
08,44,839756,576957,0.6871,0.4365,0.2641,0.384,0.33,0.113,0.317,-0.372,0,7
24,29,521401,354820,0.6805,0.4426,0.2413,0.355,0.36,0.091,0.264,0.086,0,1
36,24,238124,161943,0.6801,0.4625,0.2995,0.44,0.404,0.077,0.186,0.653,0,3
07,58,572794,386827,0.6753,0.4627,0.229,0.339,0.255,0.116,0.439,0.102,0,0
35,19,458936,307879,0.6709,0.4422,0.2315,0.345,0.336,0.074,0.224,0.505,0,0
46,43,504904,336782,0.667,0.4809,0.341,0.511,0.496,0.081,0.156,0.759,0,1
21,42,593805,392583,0.6611,0.4266,0.2709,0.41,0.365,0.117,0.305,0.255,0,6
02,40,412326,272550,0.661,0.4134,0.3718,0.562,0.521,0.093,0.173,0.475,0,3
16,15,332750,219706,0.6603,0.4195,0.2299,0.348,0.305,0.049,0.155,0.114,0,0
33,27,557718,366248,0.6567,0.4304,0.3046,0.464,0.392,0.073,0.183,0.285,0,2
45,26,344280,225666,0.6555,0.4292,0.2468,0.377,0.334,0.056,0.166,0.627,0,0
39,34,241376,156295,0.6475,0.463,0.2412,0.372,0.334,0.075,0.215,0.549,0,0
37,17,296039,190681,0.6441,0.3975,0.2497,0.388,0.365,0.15,0.378,-0.059,0,2
25,19,365251,234649,0.6424,0.3946,0.3267,0.509,0.455,0.108,0.231,0.152,0,6
42,21,427110,272424,0.6378,0.4312,0.4129,0.647,0.574,0.118,0.199,0.538,0,7
19,27,245877,154682,0.6291,0.3661,0.2757,0.438,0.402,0.088,0.212,0.704,0,4
10,35,576662,361266,0.6265,0.3474,0.2149,0.343,0.274,0.166,0.519,0.045,1,2
15,30,715386,448198,0.6265,0.4046,0.2135,0.341,0.305,0.262,0.767,-0.288,1,1
09,25,554552,347410,0.6265,0.3956,0.2584,0.412,0.364,0.084,0.231,-0.338,0,1
18,17,232384,145158,0.6246,0.4027,0.3111,0.498,0.465,0.072,0.151,0.691,0,2
43,45,538606,335039,0.622,0.42,0.2901,0.466,0.392,0.073,0.189,0.5,0,2
06,35,359521,222672,0.6194,0.4249,0.2145,0.346,0.285,0.066,0.223,0.145,0,1
44,18,368404,227140,0.6166,0.4072,0.2591,0.42,0.357,0.105,0.267,0.353,0,2
30,30,305242,185763,0.6086,0.384,0.3195,0.525,0.495,0.125,0.244,0.362,0,4
29,39,414554,245324,0.5918,0.3006,0.3159,0.534,0.458,0.116,0.246,0.477,0,13
17,19,333102,193421,0.5807,0.3498,0.1966,0.339,0.254,0.102,0.343,0.338,0,3
38,20,432409,250595,0.5795,0.3598,0.2844,0.491,0.435,0.078,0.172,0.661,0,1
34,23,809792,465130,0.5744,0.3649,0.2725,0.474,0.407,0.106,0.247,0.533,0,3
04,35,638817,338554,0.53,0.2996,0.2556,0.482,0.361,0.134,0.346,-0.006,0,6
22,35,1083747,560599,0.5173,0.2639,0.2718,0.525,0.49,0.116,0.231,0.46,0,13
40,60,1394598,670936,0.4811,0.2505,0.2807,0.584,0.437,0.134,0.282,0.446,1,19
01,179,1662980,797631,0.4796,0.2245,0.2679,0.559,0.422,0.125,0.279,0.235,0,29
28,41,1545782,710727,0.4598,0.2395,0.2907,0.632,0.498,0.203,0.366,0.796,2,13
12,54,1699743,775861,0.4565,0.2138,0.2592,0.568,0.4,0.249,0.547,-0.263,3,16
23,54,1864405,771165,0.4136,0.156,0.2682,0.648,0.561,0.16,0.273,0.278,2,41
26,26,734338,282575,0.3848,0.1846,0.2737,0.711,0.48,0.41,0.676,0.061,2,11
11,63,1935546,731957,0.3782,0.1446,0.2363,0.625,0.523,0.689,0.997,0.019,7,34
47,41,324382,114593,0.3533,0.1511,0.2042,0.578,0.527,0.211,0.359,0.715,2,23
14,33,2308038,697870,0.3024,0.0678,0.2636,0.872,0.813,0.256,0.318,0.287,6,27
27,43,2361428,588170,0.2491,0.0667,0.2267,0.91,0.745,0.313,0.377,0.78,12,37
13,62,3108115,453418,0.1459,0.0238,0.1708,1.171,1.175,5.397,2.302,0.933,37,40
