都道府県コード,市区町村数,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外率_変種C125,農水省_困難人口割合,比_農水省÷変種A,比の中央値,比のsd,比の変動係数,相関r,比が1超の市区町村,比C125が1超の市区町村
32,19,227546,168939,0.7424,0.5561,0.2914,0.393,0.432,0.109,0.249,0.613,0,0
05,25,357551,249456,0.6977,0.4947,0.3381,0.485,0.444,0.07,0.155,0.336,0,1
08,44,839756,571156,0.6801,0.4308,0.2641,0.388,0.33,0.119,0.331,-0.354,0,7
03,33,404377,274454,0.6787,0.4783,0.2481,0.366,0.356,0.085,0.235,0.12,0,1
24,29,521401,349031,0.6694,0.4322,0.2413,0.36,0.362,0.096,0.27,0.04,0,2
07,58,572794,374853,0.6544,0.4353,0.229,0.35,0.259,0.12,0.44,0.108,0,0
02,40,412326,268574,0.6514,0.4043,0.3718,0.571,0.524,0.092,0.169,0.495,0,5
21,42,593805,386423,0.6508,0.4141,0.2709,0.416,0.378,0.116,0.298,0.227,0,6
36,24,238124,154923,0.6506,0.4197,0.2995,0.46,0.414,0.087,0.202,0.544,0,4
41,20,246100,160072,0.6504,0.4279,0.2312,0.356,0.294,0.081,0.257,-0.342,0,1
20,77,646950,418311,0.6466,0.3891,0.2201,0.34,0.298,0.092,0.299,0.31,0,3
31,19,176977,114120,0.6448,0.4257,0.2457,0.381,0.348,0.075,0.22,0.35,0,1
35,19,458936,291356,0.6349,0.3935,0.2315,0.365,0.351,0.102,0.283,0.215,0,0
33,27,557718,349290,0.6263,0.3971,0.3046,0.486,0.414,0.086,0.206,0.178,0,3
15,30,715386,446708,0.6244,0.4029,0.2135,0.342,0.305,0.262,0.766,-0.286,1,1
25,19,365251,226388,0.6198,0.3715,0.3267,0.527,0.458,0.121,0.251,0.187,0,6
45,26,344280,212643,0.6176,0.3928,0.2468,0.4,0.347,0.064,0.182,0.668,0,0
46,43,504904,308418,0.6108,0.4127,0.341,0.558,0.522,0.102,0.179,0.679,0,4
37,17,296039,178458,0.6028,0.3448,0.2497,0.414,0.395,0.181,0.403,-0.349,0,3
09,25,554552,333570,0.6015,0.3759,0.2584,0.43,0.365,0.096,0.256,-0.338,0,1
18,17,232384,138706,0.5969,0.3888,0.3111,0.521,0.493,0.083,0.166,0.641,0,2
16,15,332750,195887,0.5887,0.3568,0.2299,0.39,0.332,0.06,0.175,0.318,0,0
10,35,576662,337522,0.5853,0.3085,0.2149,0.367,0.286,0.167,0.498,0.063,1,5
42,21,427110,248768,0.5824,0.3642,0.4129,0.709,0.6,0.132,0.21,0.544,0,8
29,39,414554,241271,0.582,0.2919,0.3159,0.543,0.459,0.119,0.251,0.474,0,13
44,18,368404,212813,0.5777,0.3608,0.2591,0.449,0.381,0.132,0.311,0.387,0,3
39,34,241376,138357,0.5732,0.3915,0.2412,0.421,0.383,0.098,0.251,0.448,0,3
43,45,538606,306342,0.5688,0.3507,0.2901,0.51,0.424,0.088,0.203,0.423,0,5
06,35,359521,203326,0.5655,0.3694,0.2145,0.379,0.3,0.079,0.246,0.149,0,1
30,30,305242,170902,0.5599,0.32,0.3195,0.571,0.555,0.143,0.249,0.472,0,10
34,23,809792,433584,0.5354,0.3177,0.2725,0.509,0.433,0.126,0.271,0.449,0,6
19,27,245877,131172,0.5335,0.2841,0.2757,0.517,0.457,0.173,0.339,0.437,1,9
04,35,638817,333941,0.5227,0.2952,0.2556,0.489,0.363,0.137,0.35,0.009,0,7
17,19,333102,168328,0.5053,0.2816,0.1966,0.389,0.286,0.146,0.424,0.217,0,3
38,20,432409,216547,0.5008,0.2945,0.2844,0.568,0.508,0.102,0.195,0.605,0,5
22,35,1083747,512133,0.4726,0.2231,0.2718,0.575,0.531,0.137,0.249,0.406,0,17
28,41,1545782,705400,0.4563,0.2355,0.2907,0.637,0.498,0.215,0.383,0.792,2,13
40,60,1394598,630176,0.4519,0.2313,0.2807,0.621,0.437,0.168,0.346,0.442,1,19
01,179,1662980,741276,0.4458,0.2001,0.2679,0.601,0.457,0.138,0.291,0.173,1,38
12,54,1699743,725941,0.4271,0.1914,0.2592,0.607,0.41,0.279,0.575,-0.255,5,17
23,54,1864405,760683,0.408,0.153,0.2682,0.657,0.576,0.162,0.274,0.302,2,41
11,63,1935546,720617,0.3723,0.1404,0.2363,0.635,0.523,0.691,0.987,0.014,8,35
26,26,734338,254789,0.347,0.1588,0.2737,0.789,0.515,0.519,0.73,-0.016,5,12
14,33,2308038,680422,0.2948,0.0643,0.2636,0.894,0.833,0.3,0.359,0.286,7,27
47,41,324382,90609,0.2793,0.098,0.2042,0.731,0.648,0.677,0.753,0.301,10,31
27,43,2361428,557631,0.2361,0.0636,0.2267,0.96,0.75,0.398,0.457,0.785,12,37
13,62,3108115,424256,0.1365,0.0225,0.1708,1.252,1.285,6.101,2.171,0.927,41,39
