都道府県コード,市区町村数,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外率_変種C125,農水省_困難人口割合,比_農水省÷変種A,比の中央値,比のsd,比の変動係数,相関r,比が1超の市区町村,比C125が1超の市区町村
32,19,227546,167750,0.7372,0.5514,0.2914,0.395,0.432,0.108,0.247,0.626,0,0
05,25,357551,249417,0.6976,0.4938,0.3381,0.485,0.444,0.07,0.155,0.336,0,1
03,33,404377,273933,0.6774,0.4767,0.2481,0.366,0.356,0.085,0.235,0.119,0,1
08,44,839756,568502,0.677,0.4271,0.2641,0.39,0.33,0.12,0.333,-0.356,0,8
24,29,521401,347698,0.6669,0.4277,0.2413,0.362,0.362,0.097,0.273,0.038,0,2
07,58,572794,374307,0.6535,0.435,0.229,0.35,0.259,0.12,0.441,0.107,0,0
02,40,412326,268436,0.651,0.4038,0.3718,0.571,0.525,0.092,0.169,0.497,0,5
21,42,593805,383706,0.6462,0.4087,0.2709,0.419,0.378,0.117,0.297,0.244,0,6
41,20,246100,158304,0.6433,0.421,0.2312,0.359,0.294,0.08,0.251,-0.319,0,1
36,24,238124,152957,0.6423,0.4176,0.2995,0.466,0.418,0.099,0.225,0.475,0,4
20,77,646950,415567,0.6423,0.3859,0.2201,0.343,0.301,0.098,0.314,0.23,0,3
31,19,176977,112557,0.636,0.4089,0.2457,0.386,0.348,0.078,0.225,0.37,0,1
35,19,458936,288229,0.628,0.3853,0.2315,0.369,0.352,0.101,0.277,0.212,0,0
15,30,715386,446127,0.6236,0.402,0.2135,0.342,0.306,0.262,0.765,-0.285,1,1
33,27,557718,346614,0.6215,0.3922,0.3046,0.49,0.416,0.086,0.205,0.199,0,3
25,19,365251,222761,0.6099,0.3614,0.3267,0.536,0.459,0.126,0.257,0.211,0,6
46,43,504904,307623,0.6093,0.4111,0.341,0.56,0.522,0.102,0.179,0.68,0,4
45,26,344280,207976,0.6041,0.3824,0.2468,0.409,0.355,0.07,0.193,0.643,0,2
18,17,232384,138310,0.5952,0.3884,0.3111,0.523,0.493,0.082,0.164,0.653,0,2
37,17,296039,176207,0.5952,0.3387,0.2497,0.42,0.413,0.18,0.398,-0.336,0,3
09,25,554552,329335,0.5939,0.3716,0.2584,0.435,0.369,0.098,0.259,-0.342,0,2
16,15,332750,194757,0.5853,0.3524,0.2299,0.393,0.337,0.059,0.171,0.34,0,0
29,39,414554,240706,0.5806,0.2916,0.3159,0.544,0.459,0.119,0.251,0.477,0,13
10,35,576662,334479,0.58,0.306,0.2149,0.371,0.287,0.172,0.506,0.066,1,5
42,21,427110,246015,0.576,0.3573,0.4129,0.717,0.61,0.133,0.207,0.571,0,8
44,18,368404,210562,0.5716,0.3562,0.2591,0.453,0.384,0.133,0.312,0.386,0,3
39,34,241376,136159,0.5641,0.3813,0.2412,0.428,0.384,0.1,0.255,0.439,0,3
43,45,538606,303078,0.5627,0.3448,0.2901,0.516,0.425,0.091,0.208,0.422,0,6
06,35,359521,200183,0.5568,0.3659,0.2145,0.385,0.301,0.082,0.254,0.16,0,1
30,30,305242,168408,0.5517,0.3131,0.3195,0.579,0.555,0.145,0.25,0.48,0,10
34,23,809792,426599,0.5268,0.3093,0.2725,0.517,0.454,0.125,0.264,0.486,0,7
19,27,245877,128856,0.5241,0.2791,0.2757,0.526,0.502,0.174,0.333,0.451,1,9
04,35,638817,332363,0.5203,0.2936,0.2556,0.491,0.364,0.137,0.35,0.012,0,7
17,19,333102,166669,0.5004,0.2788,0.1966,0.393,0.3,0.152,0.433,0.221,0,3
38,20,432409,214315,0.4956,0.2869,0.2844,0.574,0.508,0.104,0.197,0.588,0,5
22,35,1083747,501895,0.4631,0.2157,0.2718,0.587,0.544,0.149,0.263,0.379,0,18
28,41,1545782,701883,0.4541,0.2347,0.2907,0.64,0.498,0.221,0.393,0.791,2,13
40,60,1394598,624833,0.448,0.2284,0.2807,0.627,0.44,0.17,0.346,0.453,1,20
01,179,1662980,732518,0.4405,0.1964,0.2679,0.608,0.469,0.14,0.29,0.169,1,40
12,54,1699743,713376,0.4197,0.1866,0.2592,0.618,0.411,0.291,0.588,-0.25,5,17
23,54,1864405,754878,0.4049,0.1516,0.2682,0.662,0.576,0.165,0.276,0.303,2,41
11,63,1935546,709341,0.3665,0.1381,0.2363,0.645,0.524,0.696,0.978,0.014,9,35
26,26,734338,249583,0.3399,0.1561,0.2737,0.805,0.521,0.52,0.723,-0.005,5,12
14,33,2308038,676416,0.2931,0.0637,0.2636,0.899,0.833,0.305,0.361,0.286,7,27
47,41,324382,89041,0.2745,0.0966,0.2042,0.744,0.648,0.677,0.748,0.311,10,31
27,43,2361428,548459,0.2323,0.0608,0.2267,0.976,0.774,0.398,0.451,0.785,14,37
13,62,3108115,414554,0.1334,0.0224,0.1708,1.281,1.334,6.096,2.153,0.927,43,39
