都道府県コード,市区町村数,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外率_変種C125,農水省_困難人口割合,比_農水省÷変種A,比の中央値,比のsd,比の変動係数,相関r,比が1超の市区町村,比C125が1超の市区町村
32,19,227546,173070,0.7606,0.5753,0.2914,0.383,0.412,0.111,0.256,0.589,0,0
03,33,404377,301013,0.7444,0.559,0.2481,0.333,0.318,0.072,0.22,0.162,0,0
20,77,646950,468403,0.724,0.4876,0.2201,0.304,0.269,0.084,0.296,0.33,0,0
24,29,521401,374656,0.7186,0.4848,0.2413,0.336,0.339,0.087,0.264,0.028,0,1
41,20,246100,176080,0.7155,0.4894,0.2312,0.323,0.282,0.066,0.224,-0.41,0,1
36,24,238124,170157,0.7146,0.4892,0.2995,0.419,0.389,0.073,0.182,0.617,0,1
08,44,839756,599318,0.7137,0.4662,0.2641,0.37,0.322,0.106,0.307,-0.33,0,4
31,19,176977,126206,0.7131,0.474,0.2457,0.345,0.329,0.059,0.183,0.354,0,0
05,25,357551,254906,0.7129,0.5186,0.3381,0.474,0.443,0.065,0.145,0.354,0,1
07,58,572794,404104,0.7055,0.4824,0.229,0.325,0.246,0.113,0.435,0.104,0,0
21,42,593805,418400,0.7046,0.4666,0.2709,0.384,0.34,0.072,0.203,0.193,0,3
16,15,332750,233464,0.7016,0.4671,0.2299,0.328,0.302,0.039,0.13,0.183,0,0
35,19,458936,320840,0.6991,0.4651,0.2315,0.331,0.325,0.084,0.254,0.436,0,0
46,43,504904,352740,0.6986,0.5065,0.341,0.488,0.479,0.084,0.165,0.742,0,1
45,26,344280,236354,0.6865,0.4609,0.2468,0.36,0.319,0.053,0.162,0.606,0,0
02,40,412326,281863,0.6836,0.4371,0.3718,0.544,0.514,0.089,0.168,0.493,0,3
37,17,296039,201832,0.6818,0.4334,0.2497,0.366,0.34,0.138,0.367,-0.061,0,2
33,27,557718,378604,0.6788,0.4506,0.3046,0.449,0.387,0.072,0.183,0.19,0,1
25,19,365251,246784,0.6757,0.4366,0.3267,0.484,0.424,0.084,0.189,0.205,0,4
42,21,427110,287810,0.6739,0.459,0.4129,0.613,0.552,0.115,0.199,0.493,0,5
39,34,241376,161764,0.6702,0.4873,0.2412,0.36,0.335,0.075,0.215,0.533,0,0
09,25,554552,371399,0.6697,0.437,0.2584,0.386,0.349,0.068,0.199,-0.322,0,1
15,30,715386,472926,0.6611,0.4332,0.2135,0.323,0.289,0.264,0.796,-0.363,1,1
18,17,232384,153423,0.6602,0.4262,0.3111,0.471,0.446,0.068,0.147,0.642,0,1
43,45,538606,355317,0.6597,0.4513,0.2901,0.44,0.372,0.06,0.161,0.51,0,1
10,35,576662,379274,0.6577,0.3745,0.2149,0.327,0.261,0.164,0.529,0.014,1,1
44,18,368404,241272,0.6549,0.4363,0.2591,0.396,0.354,0.076,0.204,0.348,0,2
19,27,245877,160492,0.6527,0.3846,0.2757,0.422,0.396,0.082,0.2,0.712,0,4
30,30,305242,196178,0.6427,0.4145,0.3195,0.497,0.475,0.114,0.23,0.365,0,4
06,35,359521,229056,0.6371,0.4405,0.2145,0.337,0.273,0.061,0.21,0.192,0,1
29,39,414554,263896,0.6366,0.3484,0.3159,0.496,0.448,0.088,0.196,0.47,0,8
17,19,333102,206930,0.6212,0.3788,0.1966,0.316,0.25,0.087,0.308,0.318,0,3
38,20,432409,267081,0.6177,0.3994,0.2844,0.46,0.41,0.078,0.18,0.6,0,1
34,23,809792,490446,0.6056,0.3923,0.2725,0.45,0.412,0.106,0.252,0.565,0,3
04,35,638817,356361,0.5578,0.3127,0.2556,0.458,0.353,0.117,0.317,0.061,0,5
22,35,1083747,600282,0.5539,0.2954,0.2718,0.491,0.463,0.108,0.225,0.45,0,8
40,60,1394598,707378,0.5072,0.2693,0.2807,0.553,0.436,0.113,0.246,0.478,0,16
28,41,1545782,772872,0.5,0.2623,0.2907,0.582,0.467,0.144,0.281,0.79,1,12
01,179,1662980,828813,0.4984,0.2356,0.2679,0.538,0.422,0.118,0.267,0.259,0,25
12,54,1699743,832073,0.4895,0.2335,0.2592,0.53,0.383,0.217,0.505,-0.248,1,14
23,54,1864405,872542,0.468,0.185,0.2682,0.573,0.502,0.114,0.223,0.264,0,36
11,63,1935546,855913,0.4422,0.1778,0.2363,0.534,0.44,0.249,0.49,0.075,5,31
26,26,734338,307906,0.4193,0.2108,0.2737,0.653,0.436,0.283,0.522,0.083,1,9
47,41,324382,127886,0.3942,0.1742,0.2042,0.518,0.506,0.206,0.373,0.658,2,16
14,33,2308038,803400,0.3481,0.0866,0.2636,0.757,0.745,0.233,0.317,0.268,1,27
27,43,2361428,665823,0.282,0.0785,0.2267,0.804,0.672,0.242,0.33,0.783,6,36
13,62,3108115,553760,0.1782,0.0314,0.1708,0.959,0.929,0.765,0.656,0.939,25,42
