都道府県コード,市区町村数,総人口,総65歳以上人口,圏外65歳以上人口,圏外率,圏外総人口,圏外率_総人口,スーパー圏外率,農水省_困難人口割合,比_農水省÷本推計,比の中央値,比のsd,相関r,比が1超の市区町村
32,19,670131,227546,164014,0.7211,446638,0.6668,0.8455,0.2914,0.404,0.421,0.11,0.611,0
05,25,959391,357551,249816,0.6987,628895,0.6556,0.8622,0.3381,0.484,0.44,0.072,0.401,0
03,33,1210448,404377,275166,0.6805,759618,0.6276,0.8479,0.2481,0.365,0.339,0.085,0.161,0
02,40,1236346,412326,271227,0.6581,769530,0.6227,0.8625,0.3718,0.565,0.518,0.083,0.535,0
24,29,1768445,521401,341117,0.6543,1091774,0.6175,0.8385,0.2413,0.369,0.38,0.098,0.013,0
41,20,810965,246100,160865,0.6539,490402,0.6049,0.8442,0.2312,0.354,0.297,0.09,-0.417,0
46,43,1585594,504904,325648,0.6452,907010,0.5723,0.8067,0.341,0.529,0.513,0.086,0.744,0
08,44,2866332,839756,538369,0.6411,1699843,0.593,0.8629,0.2641,0.412,0.341,0.134,-0.357,0
07,58,1833164,572794,367056,0.6408,1097464,0.5987,0.8487,0.229,0.357,0.263,0.116,0.219,0
20,77,2048003,646950,414500,0.6407,1246755,0.6088,0.8507,0.2201,0.344,0.29,0.096,0.263,0
36,24,718972,238124,148745,0.625,418321,0.5821,0.8171,0.2995,0.48,0.442,0.131,0.446,0
35,19,1339523,458936,283721,0.6191,767498,0.5735,0.8192,0.2315,0.374,0.366,0.077,0.573,0
33,27,1887653,557718,338899,0.608,1025122,0.5433,0.8137,0.3046,0.501,0.416,0.09,0.213,0
42,21,1303165,427110,258561,0.6071,744416,0.5727,0.7754,0.4129,0.682,0.6,0.097,0.748,0
31,19,553187,176977,107168,0.6056,305721,0.5527,0.8064,0.2457,0.406,0.347,0.088,0.371,0
45,26,1069040,344280,207882,0.6039,582205,0.5446,0.7666,0.2468,0.409,0.357,0.064,0.697,0
21,42,1978721,593805,358137,0.6031,1118019,0.565,0.8279,0.2709,0.449,0.402,0.198,0.239,1
44,18,1122045,368404,218608,0.5937,598309,0.5335,0.7748,0.2591,0.437,0.357,0.135,0.541,0
06,35,1067882,359521,213263,0.5933,580705,0.5438,0.7744,0.2145,0.362,0.269,0.08,0.148,0
25,19,1413469,365251,216714,0.5933,759885,0.5376,0.8048,0.3267,0.551,0.492,0.13,0.154,0
15,30,2199930,715386,417863,0.5842,1194948,0.5432,0.8039,0.2135,0.365,0.32,0.085,0.392,0
43,45,1734027,538606,312246,0.5802,889324,0.5132,0.7792,0.2901,0.5,0.397,0.087,0.45,0
37,17,948482,296039,170116,0.5754,505385,0.5334,0.7781,0.2497,0.435,0.426,0.186,0.151,0
09,25,1933939,554552,317898,0.5733,1020052,0.5274,0.8154,0.2584,0.451,0.376,0.11,-0.379,0
29,39,1324172,414554,236863,0.5714,709392,0.5357,0.7837,0.3159,0.553,0.456,0.135,0.406,0
30,30,921753,305242,173576,0.5691,508793,0.5523,0.7643,0.3195,0.562,0.522,0.124,0.413,0
16,15,1034215,332750,188967,0.568,562171,0.5436,0.822,0.2299,0.405,0.33,0.069,0.386,0
39,34,690630,241376,135659,0.5626,352210,0.5104,0.7505,0.2412,0.429,0.376,0.101,0.426,0
18,17,765859,232384,128401,0.5526,400910,0.5235,0.8008,0.3111,0.563,0.499,0.133,0.589,0
10,35,1938925,576662,304814,0.5286,967411,0.4989,0.8175,0.2149,0.407,0.313,0.252,0.082,1
19,27,809971,245877,129859,0.5281,400957,0.495,0.8026,0.2757,0.522,0.467,0.148,0.667,0
04,35,2301676,638817,331246,0.5185,1026534,0.446,0.7723,0.2556,0.493,0.348,0.142,0.054,0
38,20,1330178,432409,221249,0.512,595174,0.4477,0.748,0.2844,0.556,0.464,0.1,0.77,0
34,23,2793960,809792,413536,0.5113,1205027,0.4317,0.7173,0.2725,0.534,0.456,0.153,0.532,0
17,19,1131209,333102,162135,0.4869,484300,0.4282,0.7559,0.1966,0.404,0.293,0.226,0.325,1
28,41,5462086,1545782,679616,0.4397,2150877,0.3939,0.6578,0.2907,0.661,0.509,0.252,0.788,2
40,60,5134320,1394598,610240,0.4377,1877398,0.3658,0.6809,0.2807,0.642,0.456,0.171,0.408,1
22,35,3631654,1083747,463291,0.4275,1429907,0.3937,0.6944,0.2718,0.636,0.571,0.176,0.513,1
12,54,6283544,1699743,666157,0.3919,2100585,0.3343,0.6816,0.2592,0.661,0.457,0.331,-0.286,6
47,41,1465945,324382,120327,0.3711,497986,0.3399,0.5882,0.2042,0.551,0.511,0.24,0.694,3
01,179,5221696,1662980,587782,0.3535,1664367,0.3188,0.6949,0.2679,0.758,0.505,0.192,0.315,6
11,63,7345828,1935546,667678,0.345,2229696,0.3035,0.6267,0.2363,0.685,0.55,0.701,0.028,9
23,54,7542204,1864405,638814,0.3427,2350356,0.3117,0.6971,0.2682,0.783,0.666,0.269,0.323,6
26,26,2577938,734338,232245,0.3163,712678,0.2765,0.5425,0.2737,0.865,0.548,0.385,0.186,5
14,33,9235432,2308038,616799,0.2673,2171621,0.2352,0.5836,0.2636,0.986,0.928,0.27,0.296,12
27,43,8836881,2361428,499287,0.2114,1699358,0.1923,0.4863,0.2267,1.072,0.818,0.629,0.829,13
13,62,14049543,3108115,351464,0.1131,1340630,0.0955,0.3392,0.1708,1.511,1.707,4.76,0.911,46
